family_id,store,display_name,search_query,status,product_name,product_id,upc,size,raw_price,normalized_price,unit,url,confidence,timestamp,notes
ben_jerrys_ice_cream,safeway_bay_area,Ben & Jerry's ice cream,Ben & Jerry's pint,needs_review,HERSHEY'S Sliced Strawberries Covered in Milk Chocolate - 8 Oz,970692247,0081006772751,OUNCE,6.99,6.99,,,low,2026-07-06T00:21:04Z,rank-1 not Ben & Jerry's
berries_6oz,safeway_bay_area,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,matched,Blueberries Prepacked - 6 Oz,184070083,0081204900640,OUNCE,4.99,4.99,,,high,2026-07-06T00:21:04Z,
breyers_ice_cream,safeway_bay_area,Breyers ice cream,Breyers,matched,Protein Pints High Protein Salted Caramel Ice Cream - 16 Oz,971322828,0085006736612,OUNCE,7.99,7.99,,,high,2026-07-06T00:21:04Z,
butter_16oz,safeway_bay_area,Butter,Lucerne butter 16 oz 16 oz sticks / quarters; normalize to 16 oz,matched,Lucerne Unsalted Sweet Cream Butter Quarters - 16 Oz,138250170,0002113008278,OUNCE,5.99,5.99,,,high,2026-07-06T00:21:04Z,
cheetos_party_size,safeway_bay_area,Cheetos Party Size,Cheetos Party Size 15 oz bags,matched,CHEETOS Snacks Cheese Flavored Crunchy Party Size - 15 Oz,960543041,0002840031409,OUNCE,5.99,5.99,,,high,2026-07-06T00:21:04Z,
cheez_it_crackers,safeway_bay_area,Cheez-It crackers,Cheez-It Original 6.5-12.4 oz boxes/bags,matched,Cheez-It DUOZ Baked Snack Crackers Sharp Cheddar and Parmesan Lunch Snacks - 12.4 Oz,960083085,0002410078895,OUNCE,5.49,5.49,,,high,2026-07-06T00:21:04Z,
cherries_per_lb,safeway_bay_area,Cherries,red cherries,matched,Red Cherries - 1.75 Lb,184140091,0048414009101,LB,10.48,10.48,,,high,2026-07-06T00:21:04Z,
chicken_breast_per_lb,safeway_bay_area,Chicken breast,boneless skinless chicken breast,matched,Foster Farms Free Range Boneless Skinless Chicken Breast Fillets - 2.25 Lb,960131632,0026582900000,LB,20.23,20.23,,,high,2026-07-06T00:21:04Z,
chicken_thigh_per_lb,safeway_bay_area,Chicken thighs,boneless skinless chicken thighs,matched,Signature Select Chicken Thigh Boneless Skinless Value Pack - 3 lb,960139991,0020786700000,LB,8.97,8.97,,,high,2026-07-06T00:21:04Z,
chips_ahoy,safeway_bay_area,Chips Ahoy cookies,Chips Ahoy Original 9.5-13 oz packages,matched,Chips Ahoy! Original Chocolate Chip Cookies - 13 Oz,960071578,0004400003219,OUNCE,5.99,5.99,,,high,2026-07-06T00:21:04Z,
clif_bars,safeway_bay_area,Clif bars,Clif bars,matched,CLIF BAR White Chocolate Macadamia Nut Energy Protein Bars - 5 Count,970839026,0072225206875,OUNCE,7.99,7.99,,,high,2026-07-06T00:21:04Z,
dr_pepper_12packs,safeway_bay_area,Dr Pepper,Dr Pepper 12-pack,matched,Dr Pepper Soda Fridge Pack - 12-12 Fl. Oz.,108051305,0007800008216,FL.OZ,14.43,14.43,,,high,2026-07-06T00:21:04Z,
dreyers_novelties,safeway_bay_area,Dreyer's novelties,Dreyer's bars,needs_review,Haagen-Dazs Ice Cream Bars Coffee Toffee Almond Crunch Ice Cream - 3-3 Fl. Oz.,960161599,0007457042854,FL.OZ,5.99,5.99,,,low,2026-07-06T00:21:04Z,rank-1 not Dreyer's
dreyers_tubs,safeway_bay_area,Dreyer's ice cream,Dreyer's ice cream,needs_review,Breyers Classics Natural Vanilla Ice Cream - 48 Oz,142100392,0007756725423,QUART,6.99,6.99,,,low,2026-07-06T00:21:04Z,rank-1 is Breyers not Dreyer's
fage_cups,safeway_bay_area,Fage Greek yogurt cups,Fage cup 5.3 oz cups,matched,Fage Total 2% Yogurt Greek Lowfat Strained with Strawberry - 5.3 Oz,960026370,0068954408146,OUNCE,1.99,1.99,,,high,2026-07-06T00:21:04Z,
general_mills_cereal_family_size,safeway_bay_area,General Mills cereal,family size Cheerios 15-18 oz,matched,Cheerios Whole Grain Oats Cereal Family Size - 18 Oz,970098256,0001600017003,OUNCE,6.99,6.99,,,high,2026-07-06T00:21:04Z,
goldfish_bags,safeway_bay_area,Goldfish,Goldfish crackers 6-8 oz bags,matched,Goldfish Baby Cheddar Baked Snack Crackers - 7.2 Oz,102020475,0001410008561,OUNCE,3.99,3.99,,,high,2026-07-06T00:21:04Z,
haagen_dazs_bars_novelties,safeway_bay_area,Häagen-Dazs bars / novelties,Häagen-Dazs bars,matched,Haagen-Dazs Dark Chocolate Ice Cream Snack Bars Ice Cream - 3 Count,142200067,0007457002310,FL.OZ,5.99,5.99,,,high,2026-07-06T00:21:04Z,
keebler_sandwich_crackers,safeway_bay_area,Keebler sandwich crackers,Keebler sandwich crackers 8-pack boxes,matched,Keebler Sandwich Crackers Cheese and Peanut Butter Single Serve Snack Crackers 8 Count - 11 Oz,102020688,0003010047324,COUNT,4.99,4.99,,,high,2026-07-06T00:21:04Z,
kings_hawaiian_rolls,safeway_bay_area,King's Hawaiian rolls,King's Hawaiian Original rolls 12 ct / 12 oz,matched,King's Hawaiian Original Sweet Rolls - 12 Oz,196010254,0007343500004,OUNCE,4.99,4.99,,,high,2026-07-06T00:21:04Z,
lacroix_8pack,safeway_bay_area,LaCroix sparkling water,LaCroix 8-pack,matched,LaCroix Pure Sparkling Water - 8-12 Fl. Oz.,970309092,0001299322133,FL.OZ,4.5,4.5,,,high,2026-07-06T00:21:04Z,
lays_kettle_cooked,safeway_bay_area,Lay's Kettle Cooked chips,Lay's Kettle Cooked Original 7.75 oz bags,matched,Lays Potato Chips Kettle Cooked Original - 8 Oz,960124191,0002840037219,OUNCE,4.29,4.29,,,high,2026-07-06T00:21:04Z,
lays_potato_chips_regular,safeway_bay_area,Lay's potato chips,Lay's Classic 5-13 oz,matched,Lays Potato Chips Classic - 8 Oz,960123883,0002840019914,OUNCE,4.29,4.29,,,high,2026-07-06T00:21:04Z,
lucerne_cream_cheese,safeway_bay_area,Lucerne cream cheese,Lucerne cream cheese 8 oz,matched,Lucerne Cream Cheese - 8 Oz,137100658,0002113004380,OUNCE,3.99,3.99,,,high,2026-07-06T00:21:04Z,
lucerne_yogurt_tubs,safeway_bay_area,Lucerne yogurt tubs,Lucerne yogurt 32 oz 32 oz tubs,matched,Lucerne Yogurt Lowfat Strawberry Flavored - 32 Oz,136300310,0002113007744,OUNCE,2.69,2.69,,,high,2026-07-06T00:21:04Z,
mangoes_each,safeway_bay_area,Mangoes,mango,matched,Large Mango,184150286,0048415028601,EACH,1.25,1.25,,,high,2026-07-06T00:21:04Z,
nabisco_snack_crackers,safeway_bay_area,Nabisco snack crackers,Wheat Thins 3.5-9.1 oz boxes/bags,matched,Wheat Thins Snacks Big 100% Whole Grain - 8 Oz,102020020,0004400000878,OUNCE,5.49,5.49,,,high,2026-07-06T00:21:04Z,
nectarines_per_lb,safeway_bay_area,Nectarines,yellow nectarines,matched,Yellow Nectarine,184140162,0048414011902,LB,1.2,1.2,,,high,2026-07-06T00:21:04Z,
peaches_per_lb,safeway_bay_area,Peaches,yellow peaches,matched,Yellow Peach,184140090,0048414011502,LB,1.5,1.5,,,high,2026-07-06T00:21:04Z,
pepsi_12packs,safeway_bay_area,Pepsi,Pepsi 12-pack,matched,Pepsi Soda Pop Cola - 12-12 Oz,108010302,0001200080994,FL.OZ,14.43,14.43,,,high,2026-07-06T00:21:04Z,
philadelphia_cream_cheese,safeway_bay_area,Philadelphia cream cheese,Philadelphia cream cheese 7.5-8 oz tubs or bricks,matched,Philadelphia Original Cream Cheese - 8 Oz,137100654,0002100061223,OUNCE,3.99,3.99,,,high,2026-07-06T00:21:04Z,
pillsbury_refrigerated_dough,safeway_bay_area,Pillsbury refrigerated dough,Pillsbury Grands 8-16.3 oz cans/tubes,matched,Pillsbury Grands! Biscuits Flaky Layers Buttermilk 8 Count - 16.3 Oz,138010256,0001800000210,OUNCE,4.99,4.99,,,high,2026-07-06T00:21:04Z,
plums_per_lb,safeway_bay_area,Plums,red plums,matched,Organic Red Plum,184700277,0048470011201,LB,0.85,0.85,,,high,2026-07-06T00:21:04Z,
post_cereal_giant_size,safeway_bay_area,Post cereal,giant-size Post cereal 21-24.7 oz,needs_review,Signature SELECT Cereal Shredded Wheat Bite-Sized - 16.4 Oz,960012561,0002113028086,OUNCE,4.49,4.49,,,low,2026-07-06T00:21:04Z,rank-1 not Post cereal
post_cereal_regular,safeway_bay_area,Post cereal,Honey Bunches of Oats 10-16 oz,needs_review,Nature Valley Protein Granola Oats N Honey - 11 Oz,960089287,0001600043779,OUNCE,6.99,6.99,,,low,2026-07-06T00:21:04Z,rank-1 not Post cereal
ribeye_steak,safeway_bay_area,Ribeye steak,ribeye steak,matched,USDA Choice Bone In Beef Rib Steak Mega Pack - 3.5 Lb,970487316,0027716000000,LB,45.47,45.47,,,high,2026-07-06T00:21:04Z,
ritz_crackers,safeway_bay_area,Ritz crackers,Ritz Original 8.8-13.7 oz boxes,matched,RITZ Fresh Stacks Original Crackers - 8-11.8 Oz,960087288,0004400003113,,5.99,5.99,,,high,2026-07-06T00:21:04Z,
ritz_toasted_chips,safeway_bay_area,Nabisco Ritz Toasted Chips,Ritz Toasted Chips 7-8.1 oz bags,matched,RITZ Toasted Chips Original Crackers - 8.1 Oz,960272520,0004400005104,OUNCE,4.99,4.99,,,high,2026-07-06T00:21:04Z,
ruffles_regular_bags,safeway_bay_area,Ruffles,Ruffles Original 5-13 oz,matched,Ruffles Potato Chips Original - 8.5 OZ,970031832,0002840051668,OUNCE,5.49,5.49,,,high,2026-07-06T00:21:04Z,
salmon,safeway_bay_area,Salmon,Atlantic salmon,matched,Atlantic Salmon Skin On Fillet 1 Count - 7 Oz Each,960273447,0023146400000,EACH,9.29,9.29,,,high,2026-07-06T00:21:04Z,
simply_party_size,safeway_bay_area,Simply Party Size,Simply Party Size 10-11 oz,needs_review,Lucerne Milk - Half Gallon (container may vary),136010013,0002113007010,FL.OZ,3.99,3.99,,,low,2026-07-06T00:21:04Z,rank-1 is wrong brand (not Simply)
simply_refrigerated_juice_lemonade,safeway_bay_area,Simply refrigerated juice & lemonade,Simply Lemonade,needs_review,Minute Maid Zero Sugar Lemonade Juice - 52 Fl. Oz. Bottle,970010654,0002500012052,FL.OZ,3.0,3.0,,,low,2026-07-06T00:21:04Z,rank-1 not Simply brand
simply_snacks,safeway_bay_area,Simply snacks,Simply Cheetos 4.5-13 oz,matched,CHEETOS Snacks Cheese Flavored Crunchy XXTRA Flamin Hot - 8.5 Oz,960156583,0002840058987,OUNCE,5.49,5.49,,,high,2026-07-06T00:21:04Z,
sliced_or_shredded_cheese_6_8oz,safeway_bay_area,Sliced or shredded cheese,Lucerne shredded cheese 6–8 oz 6-8 oz packages,matched,Lucerne Cheese Finely Shredded Mexican Style 4 Cheese Blend - 8 Oz,137050358,0002113004726,OUNCE,4.49,4.49,,,high,2026-07-06T00:21:04Z,
sun_chips_7oz,safeway_bay_area,Sun Chips,Sun Chips Original 7 oz bags,matched,SunChips Snacks Whole Grain Original - 7 Oz,960094692,0002840014741,OUNCE,4.79,4.79,,,high,2026-07-06T00:21:04Z,
sweet_corn,safeway_bay_area,Sweet corn,sweet corn,matched,Sweet Corn,184350009,0048435002001,EACH,0.13,0.13,,,high,2026-07-06T00:21:04Z,
thomas_bagels_muffins_bread,safeway_bay_area,Thomas bagels / English muffins / swirl bread,Thomas bagels 6 ct or roughly 12-18 oz,matched,Thomas Plain Bagels 6 Count - 18 OZ,971362803,0004812195951,OUNCE,2.99,2.99,,,high,2026-07-06T00:21:04Z,
tri_tip_roast,safeway_bay_area,Tri-tip roast,tri-tip roast,matched,USDA Choice Beef Loin Tri Tip Roast - 2.5 Lb,188020204,0020222000000,LB,47.47,47.47,,,high,2026-07-06T00:21:04Z,
ben_jerrys_ice_cream,vons_albertsons_socal,Ben & Jerry's ice cream,Ben & Jerry's pint,needs_review,HERSHEY'S Sliced Strawberries Covered in Milk Chocolate - 8 Oz,970692247,0081006772751,OUNCE,7.99,7.99,,,low,2026-07-06T00:26:36Z,rank-1 not Ben & Jerry's
berries_6oz,vons_albertsons_socal,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,matched,Blueberries Prepacked - 6 Oz,184070083,0085308500301,OUNCE,3.99,3.99,,,high,2026-07-06T00:26:36Z,
breyers_ice_cream,vons_albertsons_socal,Breyers ice cream,Breyers,matched,Protein Pints High Protein Salted Caramel Ice Cream - 16 Oz,971322828,0085006736612,OUNCE,8.99,8.99,,,high,2026-07-06T00:26:36Z,
butter_16oz,vons_albertsons_socal,Butter,Lucerne butter 16 oz 16 oz sticks / quarters; normalize to 16 oz,matched,Lucerne Unsalted Sweet Cream Butter Quarters - 16 Oz,138250170,0002113008278,OUNCE,3.99,3.99,,,high,2026-07-06T00:26:36Z,
cheetos_party_size,vons_albertsons_socal,Cheetos Party Size,Cheetos Party Size 15 oz bags,matched,CHEETOS Snacks Cheese Flavored Crunchy Party Size - 15 Oz,960543041,0002840031409,OUNCE,5.99,5.99,,,high,2026-07-06T00:26:36Z,
cheez_it_crackers,vons_albertsons_socal,Cheez-It crackers,Cheez-It Original 6.5-12.4 oz boxes/bags,matched,Cheez-It Original Snack Mix Family Size - 17.8 Oz,971203262,0002410012516,OUNCE,6.99,6.99,,,high,2026-07-06T00:26:36Z,
cherries_per_lb,vons_albertsons_socal,Cherries,red cherries,matched,Red Cherries - 1.75 Lb,184140091,0048414009101,LB,10.48,10.48,,,high,2026-07-06T00:26:36Z,
chicken_breast_per_lb,vons_albertsons_socal,Chicken breast,boneless skinless chicken breast,matched,Boneless Skinless Chicken Breast Value Pack - 3.5 Lb,971290124,0020059200000,LB,10.47,10.47,,,high,2026-07-06T00:26:36Z,
chicken_thigh_per_lb,vons_albertsons_socal,Chicken thighs,boneless skinless chicken thighs,matched,Signature Select Chicken Thigh Boneless Skinless Value Pack - 3 lb,960139991,0020786700000,LB,8.97,8.97,,,high,2026-07-06T00:26:36Z,
chips_ahoy,vons_albertsons_socal,Chips Ahoy cookies,Chips Ahoy Original 9.5-13 oz packages,matched,Chips Ahoy! Original Chocolate Chip Cookies - 13 Oz,960071578,0004400003219,OUNCE,4.99,4.99,,,high,2026-07-06T00:26:36Z,
clif_bars,vons_albertsons_socal,Clif bars,Clif bars,matched,GoMacro Oatmeal Chocolate Chip - 2.3 Oz,970078975,0085355500654,OUNCE,4.0,4.0,,,high,2026-07-06T00:26:36Z,
dr_pepper_12packs,vons_albertsons_socal,Dr Pepper,Dr Pepper 12-pack,matched,Dr Pepper Soda Fridge Pack - 12-12 Fl. Oz.,108051305,0007800008216,FL.OZ,11.99,11.99,,,high,2026-07-06T00:26:36Z,
dreyers_novelties,vons_albertsons_socal,Dreyer's novelties,Dreyer's bars,needs_review,Bomb Pop Original Ice Pop - 12 Count,960100621,0007064000663,FL.OZ,2.5,2.5,,,low,2026-07-06T00:26:36Z,rank-1 not Dreyer's
dreyers_tubs,vons_albertsons_socal,Dreyer's ice cream,Dreyer's ice cream,needs_review,Breyers Classics Natural Vanilla Ice Cream - 48 Oz,142100392,0007756725423,QUART,5.99,5.99,,,low,2026-07-06T00:26:36Z,rank-1 is Breyers not Dreyer's
fage_cups,vons_albertsons_socal,Fage Greek yogurt cups,Fage cup 5.3 oz cups,matched,Fage Total 2% Yogurt Greek Lowfat Strained with Strawberry - 5.3 Oz,960026370,0068954408146,OUNCE,2.0,2.0,,,high,2026-07-06T00:26:36Z,
general_mills_cereal_family_size,vons_albertsons_socal,General Mills cereal,family size Cheerios 15-18 oz,matched,Cheerios Whole Grain Oats Cereal Family Size - 18 Oz,970098256,0001600017003,OUNCE,6.99,6.99,,,high,2026-07-06T00:26:36Z,
goldfish_bags,vons_albertsons_socal,Goldfish,Goldfish crackers 6-8 oz bags,matched,Goldfish Original Baked Snack Crackers - 6.6 Oz,102020089,0001410008550,OUNCE,2.99,2.99,,,high,2026-07-06T00:26:36Z,
haagen_dazs_bars_novelties,vons_albertsons_socal,Häagen-Dazs bars / novelties,Häagen-Dazs bars,matched,Haagen-Dazs Ice Cream Bars Coffee Almond Crunch Snack Size - 6-1.85 Oz,960020584,0007457065148,FL.OZ,7.49,7.49,,,high,2026-07-06T00:26:36Z,
keebler_sandwich_crackers,vons_albertsons_socal,Keebler sandwich crackers,Keebler sandwich crackers 8-pack boxes,matched,Keebler Sandwich Crackers Club and Cheddar Single Serve Snack Crackers 8 Count - 11 Oz,102020687,0003010047241,COUNT,4.49,4.49,,,high,2026-07-06T00:26:36Z,
kings_hawaiian_rolls,vons_albertsons_socal,King's Hawaiian rolls,King's Hawaiian Original rolls 12 ct / 12 oz,matched,King's Hawaiian Original Sweet Rolls - 12 Oz,196010254,0007343500004,OUNCE,3.99,3.99,,,high,2026-07-06T00:26:36Z,
lacroix_8pack,vons_albertsons_socal,LaCroix sparkling water,LaCroix 8-pack,matched,LaCroix Pure Sparkling Water - 8-12 Fl. Oz.,970309092,0001299322133,FL.OZ,3.33,3.33,,,high,2026-07-06T00:26:36Z,
lays_kettle_cooked,vons_albertsons_socal,Lay's Kettle Cooked chips,Lay's Kettle Cooked Original 7.75 oz bags,matched,Lays Potato Chips Kettle Cooked Original - 8 Oz,960124191,0002840037219,OUNCE,4.29,4.29,,,high,2026-07-06T00:26:36Z,
lays_potato_chips_regular,vons_albertsons_socal,Lay's potato chips,Lay's Classic 5-13 oz,matched,Lays Potato Chips Classic - 8 Oz,960123883,0002840019914,OUNCE,4.29,4.29,,,high,2026-07-06T00:26:36Z,
lucerne_cream_cheese,vons_albertsons_socal,Lucerne cream cheese,Lucerne cream cheese 8 oz,matched,Lucerne Cream Cheese - 8 Oz,137100658,0002113004380,OUNCE,3.49,3.49,,,high,2026-07-06T00:26:36Z,
lucerne_yogurt_tubs,vons_albertsons_socal,Lucerne yogurt tubs,Lucerne yogurt 32 oz 32 oz tubs,matched,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz,136300258,0002113007740,OUNCE,2.99,2.99,,,high,2026-07-06T00:26:36Z,
mangoes_each,vons_albertsons_socal,Mangoes,mango,matched,Popwell Tropical Mango - 12 Fl. Oz.,971196352,0001657195966,FL.OZ,1.79,1.79,,,high,2026-07-06T00:26:36Z,
nabisco_snack_crackers,vons_albertsons_socal,Nabisco snack crackers,Wheat Thins 3.5-9.1 oz boxes/bags,matched,Signature SELECT Cereal Shredded Wheat Bite-Sized - 16.4 Oz,960012561,0002113028086,OUNCE,3.49,3.49,,,high,2026-07-06T00:26:36Z,
nectarines_per_lb,vons_albertsons_socal,Nectarines,yellow nectarines,matched,Yellow Nectarine,184140162,0048414024702,LB,1.2,1.2,,,high,2026-07-06T00:26:36Z,
peaches_per_lb,vons_albertsons_socal,Peaches,yellow peaches,matched,Yellow Peach,184140090,0048414025103,LB,1.5,1.5,,,high,2026-07-06T00:26:36Z,
pepsi_12packs,vons_albertsons_socal,Pepsi,Pepsi 12-pack,matched,Pepsi Soda Pop Cola - 12-12 Oz,108010302,0001200080994,FL.OZ,11.99,11.99,,,high,2026-07-06T00:26:36Z,
philadelphia_cream_cheese,vons_albertsons_socal,Philadelphia cream cheese,Philadelphia cream cheese 7.5-8 oz tubs or bricks,matched,Philadelphia Original Cream Cheese - 8 Oz,137100654,0002100061223,OUNCE,3.99,3.99,,,high,2026-07-06T00:26:36Z,
pillsbury_refrigerated_dough,vons_albertsons_socal,Pillsbury refrigerated dough,Pillsbury Grands 8-16.3 oz cans/tubes,matched,Pillsbury Grands! Biscuits Flaky Layers Butter Tasting Butter Flavor 8 Count - 16.3 Oz,138010257,0001800000211,OUNCE,2.5,2.5,,,high,2026-07-06T00:26:36Z,
plums_per_lb,vons_albertsons_socal,Plums,red plums,matched,Red Plum,184140160,0048414016001,LB,0.51,0.51,,,high,2026-07-06T00:26:36Z,
post_cereal_giant_size,vons_albertsons_socal,Post cereal,giant-size Post cereal 21-24.7 oz,needs_review,Signature SELECT Cereal Frosted Shredded Wheat Bite-Size - 18 Oz,960013845,0002113028153,OUNCE,3.49,3.49,,,low,2026-07-06T00:26:36Z,rank-1 not Post cereal
post_cereal_regular,vons_albertsons_socal,Post cereal,Honey Bunches of Oats 10-16 oz,matched,Post Honey Bunches of Oats with Strawberries Cereal - 11 Oz,970125107,0088491235948,OUNCE,4.79,4.79,,,high,2026-07-06T00:26:36Z,
ribeye_steak,vons_albertsons_socal,Ribeye steak,ribeye steak,matched,USDA Choice Beef Ribeye Steak Bone-In Value Pack - 3 Lb,960109089,0020204500000,LB,23.97,23.97,,,high,2026-07-06T00:26:36Z,
ritz_crackers,vons_albertsons_socal,Ritz crackers,Ritz Original 8.8-13.7 oz boxes,matched,RITZ Original Crackers - 13.7 Oz,960087287,0004400003111,OUNCE,4.99,4.99,,,high,2026-07-06T00:26:36Z,
ritz_toasted_chips,vons_albertsons_socal,Nabisco Ritz Toasted Chips,Ritz Toasted Chips 7-8.1 oz bags,matched,RITZ Toasted Chips Original Crackers - 8.1 Oz,960272520,0004400005104,OUNCE,4.99,4.99,,,high,2026-07-06T00:26:36Z,
ruffles_regular_bags,vons_albertsons_socal,Ruffles,Ruffles Original 5-13 oz,matched,Ruffles Potato Chips Original - 8.5 OZ,970031832,0002840051668,OUNCE,5.49,5.49,,,high,2026-07-06T00:26:36Z,
salmon,vons_albertsons_socal,Salmon,Atlantic salmon,matched,Fresh Farmed Atlantic Salmon Fillet Color Added  - 1.5 lb,186190041,0023011600000,LB,17.99,17.99,,,high,2026-07-06T00:26:36Z,
simply_party_size,vons_albertsons_socal,Simply Party Size,Simply Party Size 10-11 oz,needs_review,Deli Fried Chicken Mixed 8 Piece Hot - Each,970028885,0021343700000,EACH,10.99,10.99,,,low,2026-07-06T00:26:36Z,rank-1 is wrong brand (not Simply)
simply_refrigerated_juice_lemonade,vons_albertsons_socal,Simply refrigerated juice & lemonade,Simply Lemonade,needs_review,Minute Maid Zero Sugar Lemonade Juice - 52 Fl. Oz. Bottle,970010654,0002500012052,FL.OZ,2.0,2.0,,,low,2026-07-06T00:26:36Z,rank-1 not Simply brand
simply_snacks,vons_albertsons_socal,Simply snacks,Simply Cheetos 4.5-13 oz,matched,Cheetos Simply Puffs Cheese Flavored Snacks White Cheddar - 12 OZ,970095812,0002840059888,OUNCE,5.99,5.99,,,high,2026-07-06T00:26:36Z,
sliced_or_shredded_cheese_6_8oz,vons_albertsons_socal,Sliced or shredded cheese,Lucerne shredded cheese 6–8 oz 6-8 oz packages,matched,Lucerne Cheese Finely Shredded Mexican Style 4 Cheese Blend - 8 Oz,137050358,0002113004726,OUNCE,2.99,2.99,,,high,2026-07-06T00:26:36Z,
sun_chips_7oz,vons_albertsons_socal,Sun Chips,Sun Chips Original 7 oz bags,matched,SunChips Snacks Whole Grain Original - 7 Oz,960094692,0002840014741,OUNCE,4.49,4.49,,,high,2026-07-06T00:26:36Z,
sweet_corn,vons_albertsons_socal,Sweet corn,sweet corn,matched,Sweet Corn,184350009,0048435002001,EACH,0.5,0.5,,,high,2026-07-06T00:26:36Z,
thomas_bagels_muffins_bread,vons_albertsons_socal,Thomas bagels / English muffins / swirl bread,Thomas bagels 6 ct or roughly 12-18 oz,matched,Thomas Plain Bagels 6 Count - 18 OZ,971362803,0004812195951,OUNCE,5.89,5.89,,,high,2026-07-06T00:26:36Z,
tri_tip_roast,vons_albertsons_socal,Tri-tip roast,tri-tip roast,matched,Beef USDA Choice Roast Loin Tri Tip Whole Untrimmed - 3.5 Lb,960115330,0020213700000,LB,17.47,17.47,,,high,2026-07-06T00:26:36Z,
